43641148,DRR277134
25363994,DRR311751
9945511,DRR345795
53886546,SRR10523768
52478372,SRR10527303
9225340,SRR10995811
19339,SRR12539558
30581433,SRR13051591
8042347,SRR13164554
9378055,SRR13169467
9434135,SRR13169468
8239948,SRR13518267
8614824,SRR13523349
8412181,SRR13528008
9625008,SRR13557739
9885797,SRR13580929
0,SRR13785539
39349321,SRR14354747
32887363,SRR17651134
21948481,SRR23490783
19626380,SRR23562283
22216570,SRR23562286
0,SRR29118782
0,SRR2921281
22358600,SRR31412042
14976617,SRR4113502
0,SRR426837
9928934,SRR5140107
12704915,SRR5140130
47479826,SRR5140144
39744331,SRR5198727
11984336,SRR5832119
20745751,SRR6327827
0,SRR6516776
9725798,SRR6818896
7335897,SRR7594090
40396270,SRR8486073
